neck_width32 SF 0.558 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436764, 'Head_TailJoint_Blue_Optional_Cross#single': 3721.175262345024, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_width36 SF 1.236 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436764, 'Head_TailJoint_Blue_Optional_Cross#single': 3721.1752623450247, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_width40 SF 2.178 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436764, 'Head_TailJoint_Blue_Optional_Cross#single': 3721.1752623450243, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_width44 SF 3.86 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3721.1752623450243, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_width48 SF 3.86 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858484, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3721.1752623450243, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_frontwidth40 SF 2.178 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436764, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_frontwidth44 SF 3.86 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_frontwidth48 SF 3.86 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858484, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_gap2_width44 SF 0.29 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858486, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_gap2_width48 SF 0.293 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858484, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
neck_gap2_width52 SF 0.356 head 0.0 other {'chassis': 0.0, 'Cabin_Front_Blue': 1033.9495689858484, 'Head_Bottom_Blue#single': 0.0, 'Cabin_Eye_White#single': 868.2994051436766, 'Head_TailJoint_Blue_Optional_Cross#single': 3064.1914316593975, 'Head_TailJoint_Ball_Grey_Optional_Cross#single': 1773.1035215928316}
Saved /Users/uratayuuki/Documents/Tachikoma/docs/audits/20260905-round2/neck-reinforcement-candidates/comparison.json
